id,club,last_name,first_name,position,base_salary,guaranteed_compensation
123,CLB,Gaven,Eddie,M-F,173250,173250
124,TFC,Gerba,Ali,F,144996,177433.5
125,COL,Gibbs,Cory,D,110000,117142.86
126,SJ,Glen,Cornell,F,73020,87895
127,NY,Goldthwaite,Kevin,D,102000,111000
128,TFC,Gomez,Emmanuel,D,35700,41300
129,KC,Gomez,Herculez,M-F,54408.38,54408.38
130,DC,Gomez,Christian,M,255000,321250
131,RSL,Gonzalez,Nelson,M-F,36000,36000
132,SEA,Gonzalez,Leonardo,D,48000,48000
133,LA,Gonzalez,Omar,D,65000,142000
134,LA,Gordon,Alan,F,79754.4,79754.4
135,RSL,Grabavoy,Ned,M,83600,83600
136,SJ,Graczyk,Mike,GK,20100,20100
137,SEA,Graham,Taylor,D,55000,55000
138,CLB,Grendi,Alex,M,20100,20100
139,LA,Griffin,Leonard,D,37000,39500
140,CLB,Gruenebaum,Andy,GK,34650,34650
141,DAL,Guarda,Bruno,M,70000,90500
142,TFC,Guevara,Amado,M,300000,323750
143,Pool,Guppy,Kevin,GK,20100,20100
144,DC,Habarugira,David,D,48000,55500
